age,Ageyear,dob,name,def,mid,att,height,weight,wins,fouls,goals,losses,red_card,total_pass,appsq,appearances,assists,yellow_card,interception,total_tackle,total_offside,total_clearance,big_chance_created,blocked_scoring_att,effective_head_clearance,error_lead_to_goal,accurate_long_balls,duel_won,duel_lost,aerial_won,won_tackle,aerial_lost,won_contest,ball_recovery,accurate_cross,total_through_ball,att_pen_goal,att_freekick_goal,big_chance_missed,total_scoring_att,ontarget_scoring_att,own_goals,clean_sheet,goals_conceded,last_man_tackle,clearance_off_line,saves,punches,goal_kicks,penalty_save,keeper_throws,good_high_claim,total_keeper_sweeper,stand_catch_dive_catch,wage_above_100
29,1989,9/26/89,Georginio Wijnaldum,0,1,0,178,70,76,77,2,20,1,35.79,16384,128,7,11,248,280,12,380,10,15,176,1,113,594,476,176,0.7,196,91,496,0.17,11,,,,,,1,25,102,3,2,,,,,,,,,no
22,1996,9/20/96,Giedrius Arlauskis,0,1,0,173,79,0,0,2,1,0,3,4,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,no
28,1990,5/2/90,Glen Johnson,1,0,0,185,71,0,1,2,1,0,8,4,2,0,0,0,1,1,0,0,0,0,,,,,,,,,,,,0,0,1,4,0.75,,,,,,,,,,,,,,no
31,1987,11/30/87,Glenn Whelan,1,0,0,175,69,7,12,0.06,8,0,17.78,324,18,2,1,15,27,5,6,0,7,3,,,,,,,,,,,,0,0,2,19,0.37,,,,,,,,,,,,,,no
37,1981,2/23/81,Granit Xhaka,0,1,0,183,78,249,569,0.09,176,6,31.08,362404,602,61,112,586,949,43,801,15,74,280,3,1532,1911,1785,392,0.78,299,189,2138,0.28,97,14,0,8,294,0.35,,,,,,,,,,,,,,yes
26,1992,8/7/92,Gylfi Sigurdsson,0,1,0,184,79,19,14,0.25,5,0,18.59,1024,32,3,0,13,29,15,7,2,18,3,0,5,92,157,11,0.79,21,34,81,0.21,2,0,0,3,56,0.36,,,,,,,,,,,,,,no
27,1991,2/12/91,Håvard Nordtveit,0,1,0,175,65,20,80,0.09,39,0,23.6,5625,75,7,11,56,98,16,56,8,21,35,0,87,296,372,85,0.82,155,61,203,0.21,13,0,0,8,90,0.28,,,,,,,,,,,,,,no
29,1989,12/8/89,Héctor Bellerín,1,0,0,175,67,58,90,0.08,44,0,41.03,18769,137,9,14,131,271,1,98,11,43,25,0,303,500,493,47,0.78,95,52,605,0.2,14,0,0,8,131,0.34,,,,,,,,,,,,,,no
30,1988,10/5/88,Hal Robson-Kanu,0,0,1,189,81,12,40,0,15,0,25.63,1225,35,1,10,64,84,0,77,1,4,24,1,61,155,118,17,0.89,22,29,194,0.13,1,,,,,,0,9,36,0,0,,,,,,,,,no
29,1989,3/12/89,Harry Arter,0,1,0,193,79,5,0,0,12,0,22.57,529,23,0,0,,,,,,,,4,171,,,,,,,,,,,,,,,0,2,40,,,112,17,253,0,86,34,11,7,no
28,1990,5/3/90,Harry Kane,0,0,1,178,70,30,96,0.03,15,1,51.78,4225,65,8,4,103,187,1,108,11,21,61,0,211,328,354,52,0.73,85,50,567,0.23,12,0,0,3,69,0.2,,,,,,,,,,,,,,yes
30,1988,10/29/88,Harry Winks,0,1,0,193,84,8,8,0,1,0,26.55,121,11,0,1,13,20,0,37,0,1,17,0,17,43,20,22,0.85,3,0,36,0,0,,,,,,0,1,3,0,0,,,,,,,,,no
26,1992,4/19/92,Henrikh Mkhitaryan,0,1,0,191,76,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,0,,,0,0,0,0,0,0,0,0,yes
21,1997,5/23/97,Heurelho Gomes,0,0,0,188,77,2,9,0,2,0,44.4,25,5,1,3,12,12,0,18,0,0,9,0,9,24,33,9,0.83,9,2,29,0.14,1,,,,,,0,3,5,0,0,,,,,,,,,no
23,1995,5/2/95,Hugo Lloris,0,0,0,180,75,24,57,0.09,18,1,19.16,3136,56,3,8,26,37,5,22,8,31,7,0,45,251,299,17,0.81,50,100,161,0.26,13,0,0,1,84,0.24,,,,,,,,,,,,,,yes
31,1987,3/31/87,Ibrahim Afellay,0,1,0,178,77,4,29,18,9,1,16.06,324,18,1,3,12,17,2,6,2,4,2,0,11,73,106,2,0.71,12,25,66,0.18,4,0,0,1,11,0.45,,,,,,,,,,,,,,no
28,1990,8/8/90,Idrissa Gueye,0,1,0,185,70,6,25,0.16,17,0,12.19,1024,32,2,2,5,15,23,3,2,11,0,,,,,,,,,,,,1,0,6,62,0.4,,,,,,,,,,,,,,no
25,1993,8/15/93,Isaac Success,0,0,1,180,70,57,45,0.08,24,0,22.51,11025,105,7,5,76,98,8,34,13,47,7,2,115,404,386,35,0.8,47,208,288,0.2,25,0,0,7,128,0.23,,,,,,,,,,,,,,no
27,1991,2/10/91,Islam Slimani,0,0,1,181,76,19,36,0.35,9,0,35.14,1369,37,7,1,20,74,18,12,13,23,7,,,,,,,,,,,,0,0,6,80,0.4,,,,,,,,,,,,,,no
22,1996,4/15/96,Jack Butland,0,0,0,190,70,0,0,1,1,0,11,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,no
34,1984,7/3/84,Jack Cork,0,1,0,178,67,99,130,0.06,27,1,28.34,28900,170,8,27,189,220,6,264,0,27,83,4,258,419,349,89,0.67,57,34,464,0.25,6,0,0,2,91,0.3,,,,,,,,,,,,,,no
31,1987,3/1/87,Jack Stephens,1,0,0,190,80,34,4,0,36,2,24.45,9409,97,0,6,,,,,,,,6,790,,,,,,,,,,,,,,,0,24,130,,,339,42,912,5,403,127,80,48,no
25,1993,3/15/93,Jack Wilshere,0,1,0,191,84,5,13,0.11,2,0,52.33,81,9,0,1,12,14,0,10,2,3,5,0,31,60,40,12,0.71,8,20,48,0.09,3,0,0,3,25,0.2,,,,,,,,,,,,,,no
29,1989,11/18/89,Jake Hesketh,0,1,0,175,67,52,111,0.07,51,0,19.24,21904,148,19,17,169,268,11,86,34,49,12,0,174,571,664,34,0.78,119,157,660,0.22,8,0,0,11,152,0.32,,,,,,,,,,,,,,no
30,1988,4/28/88,Jake Livermore,0,1,0,170,63,92,97,0.24,41,1,47.11,30276,174,41,11,102,145,64,45,51,77,4,0,484,464,689,13,0.73,43,130,807,0.23,70,2,6,21,274,0.37,,,,,,,,,,,,,,no
29,1989,10/21/89,James Collins,1,0,0,186,90,6,12,0.03,19,0,11.67,1089,33,0,1,5,9,10,8,0,10,7,,,,,,,,,,,,0,0,1,38,0.26,,,,,,,,,,,,,,no
20,1998,2/1/98,James McArthur,0,1,0,190,78,6,2,0,2,0,15.88,64,8,1,1,13,12,0,13,1,1,4,0,4,18,11,2,0.92,5,2,16,0.02,1,,,,,,0,1,1,2,0,,,,,,,,,no
24,1994,9/9/94,James McCarthy,0,1,0,198,81,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,0,,,0,0,0,0,0,0,0,0,no
36,1982,3/17/82,James McClean,0,1,0,173,69,82,263,0.1,51,3,38.73,41209,203,32,37,349,347,19,122,21,93,27,0,301,1103,1171,55,0.79,157,208,1129,0.21,130,0,1,9,273,0.3,,,,,,,,,,,,,,no
26,1992,9/9/92,James Milner,0,1,0,183,75,8,3,0,2,0,24.55,121,11,1,0,7,15,0,12,2,1,8,1,16,25,17,5,0.67,7,1,28,0.47,1,,,,,,0,2,6,0,0,,,,,,,,,yes
29,1989,6/16/89,James Morrison,0,1,0,188,70,14,55,0.36,19,0,19.45,1936,44,4,5,18,33,27,27,1,28,15,,,,,,,,,,,,0,0,20,125,0.42,,,,,,,,,,,,,,no
23,1995,5/12/95,James Tarkowski,1,0,0,181,76,17,41,0.32,11,0,27.95,1369,37,6,2,10,23,17,18,9,15,8,,,,,,,,,,,,0,0,3,64,0.42,,,,,,,,,,,,,,no
29,1989,2/8/89,James Ward-Prowse,0,1,0,189,80,47,66,0.2,23,0,25.14,8464,92,12,6,36,65,16,60,17,33,38,0,91,269,399,83,0.77,117,78,268,0.2,6,1,0,12,125,0.32,,,,,,,,,,,,,,no
30,1988,3/1/88,Jamie Vardy,0,0,1,188,77,108,138,5,38,2,44.05,33489,183,5,23,392,327,1,1275,4,13,469,4,687,873,499,352,0.74,236,54,946,0.35,8,,,,,,3,60,160,3,3,,,,,,,,,yes
19,1999,5/22/99,Jan Vertonghen,1,0,0,178,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,,,,,no
38,1980,2/20/80,Jason Puncheon,0,1,0,193,89,32,1,0,30,0,23.22,7744,88,1,4,,,,,,,,9,485,,,,,,,,,,,,,,,0,28,116,,,212,28,662,4,461,111,76,37,no
34,1984,6/27/84,Jay Fulton,0,1,0,184,77,2,18,1,9,0,35.61,324,18,1,6,43,38,0,59,0,11,21,1,33,117,90,36,0.71,10,31,122,0.18,0,,,,,,0,1,29,0,0,,,,,,,,,no
26,1992,8/2/92,Jay Rodriguez,0,0,1,185,77,40,55,3,24,3,31.81,7921,89,5,6,72,122,1,241,6,7,105,3,155,243,260,60,0.72,73,37,312,0.16,3,,,,,,1,18,86,4,0,,,,,,,,,no
29,1989,7/22/89,Jeff Hendrick,0,1,0,185,80,19,61,3,39,2,37.85,5184,72,11,11,135,192,7,182,12,20,76,0,159,352,294,67,0.77,70,66,353,0.2,5,,,,,,0,11,122,1,0,,,,,,,,,no
22,1996,3/17/96,Jefferson Montero,0,0,1,188,87,7,17,0,6,0,25.6,400,20,1,3,28,62,0,44,1,4,9,0,14,121,79,11,0.66,17,13,89,0.2,0,,,,,,0,3,25,0,1,,,,,,,,,no
33,1985,6/28/85,Jeffrey Schlupp,0,1,0,180,74,76,228,7,105,1,31.03,55225,235,4,54,317,602,5,858,9,49,273,3,448,1096,731,194,0.79,192,90,889,0.19,16,,,,,,3,48,288,7,7,,,,,,,,,no
22,1996,6/28/96,Jerome Sinclair,0,0,1,179,66,8,4,16,2,0,7.5,256,16,1,0,6,7,0,2,2,3,1,0,4,26,31,1,1,3,13,24,0.33,0,0,0,1,8,0.38,,,,,,,,,,,,,,no
22,1996,10/12/96,Joe Allen,0,1,0,173,68,0,1,1,0,0,23,1,1,0,0,2,1,0,0,0,0,0,0,1,2,3,0,1,1,1,2,0.02,0,0,0,0,0,0,,,,,,,,,,,,,,no
26,1992,8/25/92,Joe Ledley,0,1,0,191,82,0,0,3,3,0,12,9,3,0,0,1,1,1,3,0,0,3,,,,,,,,,,,,0,0,2,3,0.03,,,,,,,,,,,,,,no
28,1990,2/18/90,Joel Matip,1,0,0,172,69,17,41,2,13,0,22.24,2116,46,4,7,37,90,4,67,6,7,27,0,50,158,137,12,0.82,25,22,139,0.24,3,,,,,,1,6,30,0,0,,,,,,,,,yes
29,1989,1/14/89,Joel Robles,0,0,0,175,75,1,10,6,3,0,42.33,36,6,0,1,7,21,0,5,0,1,1,0,21,34,32,6,0.67,2,2,27,0,0,0,0,0,4,0.04,,,,,,,,,,,,,,no
22,1996,12/21/96,Joel Ward,1,0,0,178,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,,,,,no
29,1989,6/23/89,Johann Berg Gudmundsson,0,1,0,190,85,0,0,0,0,0,25,1,1,0,0,,,,,,,,0,12,,,,,,,,,,,,,,,0,0,1,,,4,0,12,0,4,0,0,0,no
24,1994,12/12/94,John Stones,1,0,0,185,75,1,5,5,4,0,12,25,5,0,1,2,0,0,1,0,0,0,0,2,1,10,0,0,1,0,7,0,0,0,0,0,1,0.01,,,,,,,,,,,,,,yes
30,1988,11/11/88,John Terry,1,0,0,175,73,50,92,0,41,3,42.46,13924,118,6,17,195,287,0,395,10,18,145,2,257,553,426,149,0.74,104,47,456,0.22,5,,,,,,0,20,143,1,3,,,,,,,,,yes
26,1992,10/14/92,Jon Flanagan,1,0,0,170,62,1,4,4,2,0,14,16,4,0,0,2,0,0,0,2,1,0,,,,,,,,,,,,0,0,1,4,0.25,,,,,,,,,,,,,,no
29,1989,12/24/89,Jonathan Leko,0,0,1,184,79,19,46,0.34,12,0,15.59,1936,44,3,5,24,35,35,39,6,25,31,,,,,,,,,,,,0,0,14,113,0.35,,,,,,,,,,,,,,no
32,1986,8/20/86,Jonathan Walters,0,0,1,180,73,21,54,0.05,40,0,47.21,6561,81,3,6,151,96,0,111,0,25,45,0,298,219,277,63,0.66,84,26,372,0.26,19,0,0,4,73,0.19,,,,,,,,,,,,,,no
30,1988,9/8/88,Jonny Evans,1,0,0,175,75,55,85,0.13,18,1,40.1,10404,102,11,12,51,134,13,20,20,44,7,1,274,512,493,27,0.75,97,201,468,0.27,20,0,2,6,172,0.34,,,,,,,,,,,,,,no
34,1984,2/10/84,Jordan Henderson,0,1,0,188,78,2,0,0,4,0,29.67,81,9,0,0,,,,,,,,1,70,,,,,,,,,,,,,,,0,2,12,,,34,5,92,1,23,6,4,4,yes
27,1991,12/13/91,Jordi Amat,1,0,0,187,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,,,,,no
29,1989,10/29/89,Jordon Ibe,0,0,1,180,80,38,113,3,48,0,31.43,12769,113,4,12,233,293,2,497,7,22,272,1,196,734,486,247,0.87,141,70,598,0.18,2,,,,,,0,26,143,0,2,,,,,,,,,no
27,1991,3/29/91,Jordy Clasie,0,1,0,185,76,0,11,5,3,0,39.2,25,5,0,1,4,12,0,8,0,3,4,0,11,19,36,6,0.58,7,0,23,0.01,1,0,0,0,3,0.03,,,,,,,,,,,,,,no
25,1993,10/3/93,José Fonte,1,0,0,192,95,14,1,0,14,0,27.51,1369,37,0,0,,,,,,,,0,298,,,,,,,,,,,,,,,0,12,46,,,125,14,335,0,140,44,41,15,no
35,1983,12/22/83,José Holebas,1,0,0,187,81,56,109,7,51,1,49.4,20449,143,2,22,322,251,1,990,5,17,408,4,594,633,383,318,0.74,189,13,700,0.24,6,,,,,,0,47,159,8,1,,,,,,,,,no
30,1988,11/10/88,Joseph Gomez,1,0,0,178,67,74,134,15,52,1,30.91,33856,184,14,22,212,339,21,345,21,41,169,1,209,877,817,84,0.81,138,258,803,0.22,11,,,,,,3,46,180,6,0,,,,,,,,,no
23,1995,1/31/95,Josh Da Silva,1,0,0,190,75,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,0,,,0,0,0,0,0,0,0,0,no
22,1996,10/8/96,Josh Onomah,0,1,0,183,72,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,0,,,0,0,0,0,0,0,0,0,no
32,1986,1/24/86,Joshua King,0,0,1,173,71,12,58,0.1,35,0,15.8,5041,71,4,12,43,89,8,23,6,22,7,0,43,195,348,15,0.74,39,38,221,0.25,9,0,0,5,67,0.31,,,,,,,,,,,,,,no
35,1983,1/24/83,Juan Carlos Paredes,1,0,0,173,69,28,53,0.18,33,0,29.61,6889,83,12,7,62,84,18,36,15,28,7,1,85,286,337,11,0.79,52,52,220,0.24,22,2,4,5,128,0.41,,,,,,,,,,,,,,no
20,1998,4/7/98,Juan Mata,0,1,0,178,70,1,0,2,1,0,16.5,4,2,0,0,0,1,0,0,0,1,0,0,2,2,2,1,0.01,1,0,4,0.01,0,0,0,0,1,0.01,,,,,,,,,,,,,,yes
26,1992,2/14/92,Julian Speroni,0,0,0,175,71,55,45,0.22,24,0,50.25,10816,104,25,9,87,131,1,58,31,83,22,0,207,349,522,52,0.82,87,111,547,0.21,44,0,6,12,263,0.37,,,,,,,,,,,,,,no
39,1979,10/15/79,Junior Stanislas,0,1,0,195,92,123,2,1,158,1,12.8,138384,372,4,3,,,,,,,,12,1424,,,,,,,,,,,,,,,0,43,333,,,552,137,1924,1,510,231,67,144,no
31,1987,4/5/87,Kasper Schmeichel,0,0,0,175,74,162,230,0.15,54,2,54.29,82369,287,96,58,255,561,18,184,44,143,38,0,1145,1193,1244,86,0.74,144,221,1130,0.24,333,5,2,11,476,0.36,,,,,,,,,,,,,,no
25,1993,5/3/93,Kelechi Iheanacho,0,0,1,188,79,1,4,0,5,0,15.83,36,6,1,1,12,7,0,13,0,0,10,0,6,26,16,9,1,6,6,18,0.01,0,,,,,,0,0,9,0,0,,,,,,,,,no
36,1982,9/11/82,Kevin De Bruyne,0,1,0,191,91,29,3,0,55,0,22.61,13689,117,0,6,,,,,,,,5,888,,,,,,,,,,,,,,,0,23,202,,,393,87,1203,2,376,159,57,81,yes
28,1990,5/28/90,Kevin Long,1,0,0,178,70,91,151,5,35,0,44.97,29584,172,15,29,376,428,10,588,13,33,235,6,483,975,706,251,0.8,176,145,968,0.2,23,,,,,,1,48,187,4,2,,,,,,,,,no
26,1992,12/19/92,Kevin Mirallas,0,0,1,197,89,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,0,,,0,0,0,0,0,0,0,0,no
29,1989,5/7/89,Kevin Stewart,0,1,0,188,84,13,44,0.44,26,1,18.17,2304,48,6,4,11,31,40,51,4,54,30,,,,,,,,,,,,3,0,19,150,0.41,,,,,,,,,,,,,,no
22,1996,4/13/96,Kevin Wimmer,1,0,0,190,75,1,1,2,1,0,9.5,4,2,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,2,0,0,0,0,0,0,2,0.5,,,,,,,,,,,,,,no
39,1979,5/18/79,Kieran Gibbs,1,0,0,186,87,24,0,0,42,0,20.31,6561,81,0,1,,,,,,,,4,524,,,,,,,,,,,,,,,0,18,101,,,216,18,699,2,146,143,121,40,no
28,1990,3/14/90,Kieran Trippier,1,0,0,168,62,57,112,0.07,41,1,44.25,17956,134,3,11,208,337,1,102,7,34,33,1,380,635,547,45,0.74,80,95,779,0.32,17,0,0,6,100,0.3,,,,,,,,,,,,,,no
35,1983,9/20/83,Kristoffer Nordfeldt,1,0,0,183,79,69,210,0.18,85,1,21.53,45369,213,17,25,96,150,114,224,21,55,101,,,,,,,,,,,,10,0,34,286,0.37,,,,,,,,,,,,,,no
30,1988,4/23/88,Krystian Bielik,1,0,0,185,80,65,157,0.12,60,1,12.5,34969,187,13,15,46,81,58,63,11,75,36,,,,,,,,,,,,0,0,16,236,0.33,,,,,,,,,,,,,,no
32,1986,7/26/86,Kurt Zouma,1,0,0,190,80,30,89,0.24,23,0,19,5041,71,5,3,22,79,19,60,6,12,44,,,,,,,,,,,,3,0,15,83,0.34,,,,,,,,,,,,,,no
25,1993,3/31/93,Kyle Naughton,1,0,0,191,90,26,131,0.15,50,0,18.37,10816,104,5,10,51,91,24,103,4,55,59,,,,,,,,,,,,1,0,10,177,0.29,,,,,,,,,,,,,,no
23,1995,8/12/95,Kyle Walker,1,0,0,176,81,21,16,0.02,14,0,19.4,2304,48,3,0,12,17,3,3,1,17,1,0,17,156,183,6,0.88,14,100,145,0.18,4,0,0,1,49,0.22,,,,,,,,,,,,,,no
33,1985,10/9/85,Laurent Koscielny,1,0,0,186,75,110,161,17,33,4,43.16,34596,186,2,23,539,328,5,1112,3,10,463,2,454,953,604,462,0.72,325,43,1104,0.21,7,,,,,,2,72,173,21,1,,,,,,,,,no
26,1992,5/7/92,Lee Grant,1,0,0,170,65,28,67,3,19,0,37.43,3969,63,4,10,96,147,10,99,4,17,28,2,136,262,207,27,0.75,29,30,246,0.24,2,,,,,,0,13,72,2,0,,,,,,,,,no
32,1986,7/1/86,Leighton Baines,1,0,0,174,68,14,46,0.06,38,0,19.4,4489,67,4,9,64,74,5,51,0,22,1,1,70,161,175,24,0.69,25,26,228,0.22,5,0,0,0,83,0.29,,,,,,,,,,,,,,no
26,1992,1/15/92,Leon Britton,0,1,0,185,83,9,47,0.22,20,0,15.11,1369,37,2,1,12,40,16,21,7,18,14,,,,,,,,,,,,0,0,2,63,0.41,,,,,,,,,,,,,,no
32,1986,2/4/86,Leonardo Ulloa,0,0,1,180,76,13,19,0.06,11,1,41.1,961,31,2,3,11,27,2,12,3,10,5,0,68,117,110,14,0.81,16,41,162,0.16,3,0,0,1,39,0.21,,,,,,,,,,,,,,no
25,1993,3/25/93,Leroy Fer,0,1,0,193,85,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,0,,,0,0,0,0,0,0,0,0,no
29,1989,6/1/89,Lewis Cook,0,1,0,193,79,57,238,0.26,66,1,22.21,27556,166,17,22,64,86,57,232,22,79,114,,,,,,,,,,,,2,1,42,433,0.33,,,,,,,,,,,,,,no
31,1987,7/16/87,Lewis Grabban,0,0,1,185,82,88,267,0.06,43,0,42.55,30976,176,11,19,193,437,14,124,12,64,50,0,303,1206,975,158,0.82,171,383,916,0.19,24,0,1,9,180,0.32,,,,,,,,,,,,,,no
26,1992,7/25/92,Loris Karius,0,0,0,187,85,0,4,2,2,0,5.5,4,2,0,0,0,3,0,2,0,1,1,0,0,6,9,2,0.33,5,0,1,0.01,0,0,0,0,1,0.01,,,,,,,,,,,,,,no
31,1987,2/22/87,Lucas Leiva,0,1,0,192,87,2,0,0,1,0,28.75,16,4,0,0,,,,,,,,0,22,,,,,,,,,,,,,,,0,3,2,,,7,0,17,0,24,6,3,1,no
30,1988,3/17/88,Lucas Pérez,0,0,1,201,93,30,0,0,14,0,24.91,3025,55,0,2,,,,,,,,3,464,,,,,,,,,,,,,,,0,22,44,,,120,17,400,0,143,59,15,6,no
28,1990,3/28/90,Luke Shaw,1,0,0,180,82,12,35,0.39,9,0,21.24,1089,33,3,4,65,47,15,51,4,18,25,2,36,213,217,59,0.72,60,64,155,0.25,1,0,0,7,81,0.36,,,,,,,,,,,,,,yes
36,1982,9/22/82,Lys Mousset,0,0,1,197,92,13,0,0,21,0,21.56,1849,43,0,2,,,,,,,,3,253,,,,,,,,,,,,,,,1,9,67,,,120,24,376,0,165,52,16,16,no
20,1998,3/2/98,Maarten Stekelenburg,0,0,0,180,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,,,,,no
31,1987,1/12/87,Mamadou Sakho,1,0,0,184,80,1,0,0,0,0,5,1,1,0,0,,,,,,,,0,2,,,,,,,,,,,,,,,0,0,1,,,0,0,0,0,1,0,1,0,no
25,1993,7/9/93,Mame Biram Diouf,0,0,1,171,73,7,10,0,1,0,42.73,121,11,0,1,15,19,0,15,0,2,6,0,20,47,29,8,0.74,5,4,40,0.01,0,,,,,,0,1,8,0,0,,,,,,,,,no
29,1989,12/28/89,Manuel Lanzini,0,1,0,175,73,8,28,0.04,11,1,48.68,784,28,2,7,34,78,0,14,1,15,2,0,107,144,133,9,0.81,6,29,157,0.4,7,0,0,0,46,0.15,,,,,,,,,,,,,,no
27,1991,6/25/91,Marc Albrighton,0,1,0,188,76,44,183,0.05,27,3,46.73,8464,92,2,23,168,273,1,176,3,19,84,2,246,645,587,198,0.8,187,83,661,0.04,4,0,0,1,85,0.21,,,,,,,,,,,,,,no
27,1991,7/1/91,Marc Muniesa,1,0,0,173,74,83,72,0.3,26,0,48.73,21025,145,30,10,97,103,31,26,37,76,13,0,289,1022,886,54,0.83,111,493,683,0.17,40,10,0,17,269,0.42,,,,,,,,,,,,,,no
29,1989,12/2/89,Marc Pugh,0,1,0,188,83,2,0,0,0,0,24,9,3,0,0,,,,,,,,0,16,,,,,,,,,,,,,,,0,1,5,,,3,1,18,0,1,2,1,0,no
26,1992,11/7/92,Marc Wilson,0,1,0,180,70,8,9,15,2,0,56.07,225,15,2,3,18,13,0,16,1,9,6,0,21,38,38,6,0.85,11,5,66,0.17,0,0,0,2,14,0.14,,,,,,,,,,,,,,no
29,1989,8/9/89,Marcin Wasilewski,1,0,0,186,79,64,90,0.23,54,0,27.19,22801,151,21,10,153,167,9,73,32,110,21,0,89,417,656,31,0.74,127,96,490,0.25,62,4,5,14,336,0.36,,,,,,,,,,,,,,no
24,1994,9/4/94,Marcos Alonso,1,0,0,178,70,1,10,0,3,1,22.2,25,5,0,1,4,11,0,12,0,1,1,0,5,22,26,2,0.91,6,4,14,0.27,0,,,,,,0,0,5,0,0,,,,,,,,,no
29,1989,12/21/89,Marcos Rojo,1,0,0,189,83,24,91,0.12,24,1,32.67,5184,72,4,10,159,188,3,167,2,15,106,1,79,537,412,206,0.73,133,56,446,0.16,1,0,0,6,81,0.4,,,,,,,,,,,,,,yes
29,1989,3/16/89,Marcus Rashford,0,0,1,176,68,135,68,0.24,54,0,15.98,59049,243,43,5,103,124,110,54,45,106,14,,,,,,,,,,,,0,0,58,484,0.43,,,,,,,,,,,,,,no
21,1997,3/2/97,Mark Birighitti,0,0,0,175,66,0,0,1,1,0,28,1,1,0,0,0,2,0,1,0,0,0,0,2,3,6,0,1,2,1,5,0.02,0,0,0,0,0,0,,,,,,,,,,,,,,no
35,1983,10/3/83,Mark Noble,0,1,0,195,85,61,170,8,77,1,30.11,38416,196,6,35,247,185,13,1456,9,15,595,7,529,771,558,456,0.66,307,18,547,0.2,2,,,,,,4,41,278,7,2,,,,,,,,,no
29,1989,12/15/89,Marko Arnautovic,0,0,1,170,66,27,39,4,23,0,36.33,5625,75,8,6,103,82,8,236,13,12,107,5,252,266,233,94,0.66,67,29,337,0.23,3,,,,,,0,20,97,0,4,,,,,,,,,no
31,1987,8/17/87,Marko Grujic,0,1,0,188,80,51,170,1,79,2,29.3,31329,177,3,31,212,355,1,927,2,36,369,3,556,724,595,250,0.75,169,66,634,0.25,5,,,,,,1,32,203,9,2,,,,,,,,,no
22,1996,3/27/96,Marouane Fellaini,0,1,0,168,63,0,1,2,2,0,9,4,2,0,1,0,2,0,0,0,0,0,0,0,2,4,0,0.5,1,0,0,0.01,0,0,0,0,2,0.5,,,,,,,,,,,,,,no
24,1994,5/28/94,Martin Kelly,1,0,0,188,70,35,21,1,26,0,44.76,7056,84,0,6,125,112,1,385,5,3,215,4,316,378,180,156,0.75,90,66,381,0.27,2,,,,,,0,21,96,4,3,,,,,,,,,no
25,1993,5/12/93,Mason Holgate,1,0,0,189,76,48,87,0.14,37,0,38.52,14641,121,11,13,52,117,13,59,18,91,51,1,295,670,684,102,0.73,115,271,446,0.22,41,2,2,16,257,0.28,,,,,,,,,,,,,,no
28,1990,8/28/90,Mathieu Debuchy,1,0,0,170,65,16,20,0.25,22,0,29.02,2304,48,2,5,30,44,4,6,4,20,1,,,,,,,,,,,,4,0,2,73,0.34,,,,,,,,,,,,,,no
31,1987,6/20/87,Matt Targett,1,0,0,198,83,60,3,1,74,0,20.99,35344,188,0,10,,,,,,,,17,1538,,,,,,,,,,,,,,,0,50,236,,,578,62,1777,2,667,347,161,114,no
26,1992,3/21/92,Matteo Darmian,1,0,0,184,78,18,41,0,17,0,35.86,1764,42,0,9,79,66,0,188,0,0,82,2,127,139,147,49,0.71,76,11,138,0.02,0,,,,,,0,4,45,0,0,,,,,,,,,no
29,1989,8/14/89,Matthew James,0,1,0,182,70,32,64,0.16,14,0,50.14,3364,58,6,12,85,137,3,48,7,26,12,0,132,272,227,22,0.71,20,48,273,0.27,22,1,0,2,65,0.2,,,,,,,,,,,,,,no
32,1986,2/26/86,Max Gradel,0,0,1,178,72,69,76,1,16,0,43.96,11025,105,6,9,264,210,6,344,6,7,173,0,105,515,354,189,0.73,143,36,578,0.16,6,,,,,,0,40,85,0,2,,,,,,,,,no
33,1985,12/19/85,Maya Yoshida,1,0,0,193,86,117,207,21,104,2,30.67,84100,290,9,32,372,380,2,2476,7,51,926,7,637,1563,815,917,0.77,435,59,1134,0.17,5,,,,,,1,69,373,18,8,,,,,,,,,no
