dob,name,wage,weekwage,height,weight,wins,fouls,goals,losses,red_card,total_pass,appearances,goal_assist,yellow_card,att_hd_goal,att_lf_goal,att_rf_goal,total_cross,hit_woodwork,interception,total_tackle,total_offside,total_clearance,big_chance_created,blocked_scoring_att,effective_head_clearance,error_lead_to_goal,accurate_long_balls,duel_won,duel_lost,aerial_won,won_tackle,aerial_lost,won_contest,ball_recovery,accurate_cross,total_through_ball,att_pen_goal,att_freekick_goal,big_chance_missed,total_scoring_att,ontarget_scoring_att,own_goals,clean_sheet,goals_conceded,last_man_tackle,clearance_off_line,saves,punches,goal_kicks,penalty_save,keeper_throws,good_high_claim,total_keeper_sweeper,stand_catch_dive_catch
8/7/87,Fernando," £100,000.00 ", £100.00 ,174cm,72kg,6,10,0,5,0,15.53,17,0,1,0,0,0,29,0,16,15,0,13,0,0,4,0,18,35,43,2,73%,3,9,51,24%,0,,,,,,0,1,12,0,0,,,,,,,,
8/5/87,Fernando Llorente," £75,000.00 ", £75.00 ,180cm,70kg,88,278,0.11,111,4,46.49,266,27,56,0,1,29,853,5,449,661,23,209,26,75,46,3,"1,025","1,157","1,080",64,74%,90,172,"1,595",33%,80,17,1,1,265,33%,,,,,,,,,,,,,
6/12/94,Florin Gardos," £30,000.00 ", £30.00 ,180cm,73kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0%,,,,,,,,,,,,,
12/20/97,Fraizer Campbell," £35,000.00 ", £35.00 ,191cm,77kg,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,0,,,0,0,0,0,0,0,0,0
4/15/88,Francis Coquelin," £60,000.00 ", £60.00 ,175cm,72kg,2,6,0.17,3,0,35.67,6,3,0,0,0,1,19,0,16,9,0,4,0,1,1,0,12,17,21,0,89%,1,6,38,47%,0,0,0,1,4,75%,,,,,,,,,,,,,
7/3/94,Fraser Forster," £55,000.00 ", £55.00 ,185cm,77kg,0,0,0,4,0,32.43,7,0,0,,,,,,,,,,,,,1,57,,,,,,,,,,,,,,,0,0,15,,,38,6,79,0,22,15,10,5
1/27/93,G√∂khan T√∂re," £27,000.00 ", £27.00 ,191cm,74kg,10,18,21,7,0,7.19,21,0,1,0,0,0,3,0,6,5,9,6,0,8,5,,,,,,,,,,,,0,0,3,19,16%,,,,,,,,,,,,,
5/20/82,Gabriel," £50,000.00 ", £50.00 ,196cm,90kg,242,3,0,55,1,16.29,374,2,5,,,,,,,,,,,,,17,"1,732",,,,,,,,,,,,,,,2,140,246,,,790,187,"2,330",3,"1,596",527,165,241
4/17/92,Gareth Barry," £60,000.00 ", £60.00 ,184cm,82kg,4,6,0,0,0,68.75,4,0,0,0,0,0,5,0,10,15,0,26,0,2,17,0,7,29,17,11,80%,12,2,19,20%,0,,,,,,0,2,2,0,0,,,,,,,,
9/30/86,Gareth McAuley," £35,000.00 ", £35.00 ,192cm,88kg,80,161,0.41,25,2,24.88,138,20,14,19,33,5,81,13,50,113,88,134,29,76,80,,,,,,,,,,,,2,0,60,393,38%,,,,,,,,,,,,,
11/7/88,Gary Cahill," £80,000.00 ", £80.00 ,189cm,80kg,25,104,0.08,27,0,46.44,64,2,10,0,3,2,58,0,158,169,2,104,1,19,54,0,238,385,356,64,72%,49,70,391,24%,5,0,0,5,57,30%,,,,,,,,,,,,,
5/3/91,George Boyd," £20,000.00 ", £20.00 ,185cm,74kg,10,9,4,9,1,42.25,32,1,4,2,1,1,7,0,74,42,2,232,2,2,102,0,122,155,82,83,76%,45,13,155,57%,0,,,,,,0,6,37,1,0,,,,,,,,
4/16/87,Georges-K√©vin Nkoudou," £35,000.00 ", £35.00 ,165cm,63kg,142,114,0.1,95,0,20.25,317,46,12,0,9,22,904,6,202,338,39,123,45,83,13,0,145,"1,058","1,074",23,77%,93,378,791,24%,54,0,0,9,246,39%,,,,,,,,,,,,,
9/26/89,Georginio Wijnaldum," £75,000.00 ", £75.00 ,178cm,70kg,76,77,2,20,1,35.79,128,7,11,0,2,0,326,0,248,280,12,380,10,15,176,1,113,594,476,176,70%,196,91,496,17%,11,,,,,,1,25,102,3,2,,,,,,,,
9/20/96,Giedrius Arlauskis," £10,000.00 ", £10.00 ,173cm,79kg,0,0,2,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0%,,,,,,,,,,,,,
5/2/90,Glen Johnson," £30,000.00 ", £30.00 ,185cm,71kg,0,1,2,1,0,8,2,0,0,0,0,0,1,0,0,1,1,0,0,0,0,,,,,,,,,,,,0,0,1,4,75%,,,,,,,,,,,,,
11/30/87,Glenn Whelan," £28,000.00 ", £28.00 ,175cm,69kg,7,12,0.06,8,0,17.78,18,2,1,0,0,1,51,0,15,27,5,6,0,7,3,,,,,,,,,,,,0,0,2,19,37%,,,,,,,,,,,,,
2/23/81,Granit Xhaka," £100,000.00 ", £100.00 ,183cm,78kg,249,569,0.09,176,6,31.08,602,61,112,5,25,3,860,6,586,949,43,801,15,74,280,3,"1,532","1,911","1,785",392,78%,299,189,"2,138",28%,97,14,0,8,294,35%,,,,,,,,,,,,,
8/7/92,Gylfi Sigurdsson," £70,000.00 ", £70.00 ,184cm,79kg,19,14,0.25,5,0,18.59,32,3,0,0,4,4,43,2,13,29,15,7,2,18,3,0,5,92,157,11,79%,21,34,81,21%,2,0,0,3,56,36%,,,,,,,,,,,,,
2/12/91,H√•vard Nordtveit," £30,000.00 ", £30.00 ,175cm,65kg,20,80,0.09,39,0,23.6,75,7,11,2,3,2,150,0,56,98,16,56,8,21,35,0,87,296,372,85,82%,155,61,203,21%,13,0,0,8,90,28%,,,,,,,,,,,,,
12/8/89,H√©ctor Beller√≠n," £55,000.00 ", £55.00 ,175cm,67kg,58,90,0.08,44,0,41.03,137,9,14,1,1,9,221,2,131,271,1,98,11,43,25,0,303,500,493,47,78%,95,52,605,20%,14,0,0,8,131,34%,,,,,,,,,,,,,
10/5/88,Hal Robson-Kanu," £15,000.00 ", £15.00 ,189cm,81kg,12,40,0,15,0,25.63,35,1,10,0,0,0,90,0,64,84,0,77,1,4,24,1,61,155,118,17,89%,22,29,194,13%,1,,,,,,0,9,36,0,0,,,,,,,,
3/12/89,Harry Arter," £20,000.00 ", £20.00 ,193cm,79kg,5,0,0,12,0,22.57,23,0,0,,,,,,,,,,,,,4,171,,,,,,,,,,,,,,,0,2,40,,,112,17,253,0,86,34,11,7
5/3/90,Harry Kane," £100,000.00 ", £100.00 ,178cm,70kg,30,96,0.03,15,1,51.78,65,8,4,0,0,2,78,0,103,187,1,108,11,21,61,0,211,328,354,52,73%,85,50,567,23%,12,0,0,3,69,20%,,,,,,,,,,,,,
10/29/88,Harry Winks," £25,000.00 ", £25.00 ,193cm,84kg,8,8,0,1,0,26.55,11,0,1,0,0,0,0,0,13,20,0,37,0,1,17,0,17,43,20,22,85%,3,0,36,0%,0,,,,,,0,1,3,0,0,,,,,,,,
4/19/92,Henrikh Mkhitaryan," £180,000.00 ", £180.00 ,191cm,76kg,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,0,,,0,0,0,0,0,0,0,0
5/23/97,Heurelho Gomes," £25,000.00 ", £25.00 ,188cm,77kg,2,9,0,2,0,44.4,5,1,3,0,0,0,7,0,12,12,0,18,0,0,9,0,9,24,33,9,83%,9,2,29,14%,1,,,,,,0,3,5,0,0,,,,,,,,
5/2/95,Hugo Lloris," £100,000.00 ", £100.00 ,180cm,75kg,24,57,0.09,18,1,19.16,56,3,8,0,2,3,168,2,26,37,5,22,8,31,7,0,45,251,299,17,81%,50,100,161,26%,13,0,0,1,84,24%,,,,,,,,,,,,,
3/31/87,Ibrahim Afellay," £25,000.00 ", £25.00 ,178cm,77kg,4,29,18,9,1,16.06,18,1,3,0,0,0,72,0,12,17,2,6,2,4,2,0,11,73,106,2,71%,12,25,66,18%,4,0,0,1,11,45%,,,,,,,,,,,,,
8/8/90,Idrissa Gueye," £45,000.00 ", £45.00 ,185cm,70kg,6,25,0.16,17,0,12.19,32,2,2,2,3,0,7,2,5,15,23,3,2,11,0,,,,,,,,,,,,1,0,6,62,40%,,,,,,,,,,,,,
8/15/93,Isaac Success," £30,000.00 ", £30.00 ,180cm,70kg,57,45,0.08,24,0,22.51,105,7,5,0,1,7,228,5,76,98,8,34,13,47,7,2,115,404,386,35,80%,47,208,288,20%,25,0,0,7,128,23%,,,,,,,,,,,,,
2/10/91,Islam Slimani," £80,000.00 ", £80.00 ,181cm,76kg,19,36,0.35,9,0,35.14,37,7,1,2,4,7,49,4,20,74,18,12,13,23,7,,,,,,,,,,,,0,0,6,80,40%,,,,,,,,,,,,,
4/15/96,Jack Butland," £35,000.00 ", £35.00 ,190cm,70kg,0,0,1,1,0,11,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0%,0,0,2,0%,0,0,0,0,0,0%,,,,,,,,,,,,,
7/3/84,Jack Cork," £35,000.00 ", £35.00 ,178cm,67kg,99,130,0.06,27,1,28.34,170,8,27,0,2,7,52,0,189,220,6,264,0,27,83,4,258,419,349,89,67%,57,34,464,25%,6,0,0,2,91,30%,,,,,,,,,,,,,
3/1/87,Jack Stephens," £12,000.00 ", £12.00 ,190cm,80kg,34,4,0,36,2,24.45,97,0,6,,,,,,,,,,,,,6,790,,,,,,,,,,,,,,,0,24,130,,,339,42,912,5,403,127,80,48
3/15/93,Jack Wilshere," £90,000.00 ", £90.00 ,191cm,84kg,5,13,0.11,2,0,52.33,9,0,1,1,0,0,9,2,12,14,0,10,2,3,5,0,31,60,40,12,71%,8,20,48,9%,3,0,0,3,25,20%,,,,,,,,,,,,,
11/18/89,Jake Hesketh," £18,000.00 ", £18.00 ,175cm,67kg,52,111,0.07,51,0,19.24,148,19,17,0,2,9,"1,003",4,169,268,11,86,34,49,12,0,174,571,664,34,78%,119,157,660,22%,8,0,0,11,152,32%,,,,,,,,,,,,,
4/28/88,Jake Livermore," £46,000.00 ", £46.00 ,170cm,63kg,92,97,0.24,41,1,47.11,174,41,11,2,33,6,823,8,102,145,64,45,51,77,4,0,484,464,689,13,73%,43,130,807,23%,70,2,6,21,274,37%,,,,,,,,,,,,,
10/21/89,James Collins," £35,000.00 ", £35.00 ,186cm,90kg,6,12,0.03,19,0,11.67,33,0,1,0,0,1,1,0,5,9,10,8,0,10,7,,,,,,,,,,,,0,0,1,38,26%,,,,,,,,,,,,,
2/1/98,James McArthur," £50,000.00 ", £50.00 ,190cm,78kg,6,2,0,2,0,15.88,8,1,1,0,0,0,2,0,13,12,0,13,1,1,4,0,4,18,11,2,92%,5,2,16,2%,1,,,,,,0,1,1,2,0,,,,,,,,
9/9/94,James McCarthy," £50,000.00 ", £50.00 ,198cm,81kg,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,0,,,0,0,0,0,0,0,0,0
3/17/82,James McClean," £30,000.00 ", £30.00 ,173cm,69kg,82,263,0.1,51,3,38.73,203,32,37,1,3,15,562,5,349,347,19,122,21,93,27,0,301,"1,103","1,171",55,79%,157,208,"1,129",21%,130,0,1,9,273,30%,,,,,,,,,,,,,
9/9/92,James Milner," £140,000.00 ", £140.00 ,183cm,75kg,8,3,0,2,0,24.55,11,1,0,0,0,0,15,0,7,15,0,12,2,1,8,1,16,25,17,5,67%,7,1,28,47%,1,,,,,,0,2,6,0,0,,,,,,,,
6/16/89,James Morrison," £40,000.00 ", £40.00 ,188cm,70kg,14,55,0.36,19,0,19.45,44,4,5,1,3,12,17,2,18,33,27,27,1,28,15,,,,,,,,,,,,0,0,20,125,42%,,,,,,,,,,,,,
5/12/95,James Tarkowski," £22,000.00 ", £22.00 ,181cm,76kg,17,41,0.32,11,0,27.95,37,6,2,1,4,7,58,1,10,23,17,18,9,15,8,,,,,,,,,,,,0,0,3,64,42%,,,,,,,,,,,,,
2/8/89,James Ward-Prowse," £45,000.00 ", £45.00 ,189cm,80kg,47,66,0.2,23,0,25.14,92,12,6,1,4,13,117,2,36,65,16,60,17,33,38,0,91,269,399,83,77%,117,78,268,20%,6,1,0,12,125,32%,,,,,,,,,,,,,
3/1/88,Jamie Vardy," £100,000.00 ", £100.00 ,188cm,77kg,108,138,5,38,2,44.05,183,5,23,2,0,3,40,2,392,327,1,"1,275",4,13,469,4,687,873,499,352,74%,236,54,946,35%,8,,,,,,3,60,160,3,3,,,,,,,,
5/22/99,Jan Vertonghen," £89,000.00 ", £89.00 ,178cm,74kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0%,0,,,,,,0,0,0,0,0,,,,,,,,
2/20/80,Jason Puncheon," £35,000.00 ", £35.00 ,193cm,89kg,32,1,0,30,0,23.22,88,1,4,,,,,,,,,,,,,9,485,,,,,,,,,,,,,,,0,28,116,,,212,28,662,4,461,111,76,37
6/27/84,Jay Fulton," £6,000.00 ", £6.00 ,184cm,77kg,2,18,1,9,0,35.61,18,1,6,0,1,0,57,0,43,38,0,59,0,11,21,1,33,117,90,36,71%,10,31,122,18%,0,,,,,,0,1,29,0,0,,,,,,,,
8/2/92,Jay Rodriguez," £55,000.00 ", £55.00 ,185cm,77kg,40,55,3,24,3,31.81,89,5,6,0,1,2,312,0,72,122,1,241,6,7,105,3,155,243,260,60,72%,73,37,312,16%,3,,,,,,1,18,86,4,0,,,,,,,,
7/22/89,Jeff Hendrick," £35,000.00 ", £35.00 ,185cm,80kg,19,61,3,39,2,37.85,72,11,11,0,1,2,266,1,135,192,7,182,12,20,76,0,159,352,294,67,77%,70,66,353,20%,5,,,,,,0,11,122,1,0,,,,,,,,
3/17/96,Jefferson Montero," £30,000.00 ", £30.00 ,188cm,87kg,7,17,0,6,0,25.6,20,1,3,0,0,0,20,0,28,62,0,44,1,4,9,0,14,121,79,11,66%,17,13,89,20%,0,,,,,,0,3,25,0,1,,,,,,,,
6/28/85,Jeffrey Schlupp," £56,000.00 ", £56.00 ,180cm,74kg,76,228,7,105,1,31.03,235,4,54,0,1,6,549,2,317,602,5,858,9,49,273,3,448,"1,096",731,194,79%,192,90,889,19%,16,,,,,,3,48,288,7,7,,,,,,,,
6/28/96,Jerome Sinclair," £20,000.00 ", £20.00 ,179cm,66kg,8,4,16,2,0,7.5,16,1,0,0,0,0,18,0,6,7,0,2,2,3,1,0,4,26,31,1,100%,3,13,24,33%,0,0,0,1,8,38%,,,,,,,,,,,,,
10/12/96,Joe Allen," £50,000.00 ", £50.00 ,173cm,68kg,0,1,1,0,0,23,1,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,1,2,3,0,100%,1,1,2,2%,0,0,0,0,0,0%,,,,,,,,,,,,,
8/25/92,Joe Ledley," £25,000.00 ", £25.00 ,191cm,82kg,0,0,3,3,0,12,3,0,0,0,0,0,2,0,1,1,1,3,0,0,3,,,,,,,,,,,,0,0,2,3,3%,,,,,,,,,,,,,
2/18/90,Joel Matip," £100,000.00 ", £100.00 ,172cm,69kg,17,41,2,13,0,22.24,46,4,7,0,1,1,131,0,37,90,4,67,6,7,27,0,50,158,137,12,82%,25,22,139,24%,3,,,,,,1,6,30,0,0,,,,,,,,
1/14/89,Joel Robles," £20,000.00 ", £20.00 ,175cm,75kg,1,10,6,3,0,42.33,6,0,1,0,0,0,0,0,7,21,0,5,0,1,1,0,21,34,32,6,67%,2,2,27,0%,0,0,0,0,4,4%,,,,,,,,,,,,,
12/21/96,Joel Ward," £35,000.00 ", £35.00 ,178cm,76kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0%,0,,,,,,0,0,0,0,0,,,,,,,,
6/23/89,Johann Berg Gudmundsson," £28,000.00 ", £28.00 ,190cm,85kg,0,0,0,0,0,25,1,0,0,,,,,,,,,,,,,0,12,,,,,,,,,,,,,,,0,0,1,,,4,0,12,0,4,0,0,0
12/12/94,John Stones," £100,000.00 ", £100.00 ,185cm,75kg,1,5,5,4,0,12,5,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,2,1,10,0,0%,1,0,7,0%,0,0,0,0,1,1%,,,,,,,,,,,,,
11/11/88,John Terry," £150,000.00 ", £150.00 ,175cm,73kg,50,92,0,41,3,42.46,118,6,17,0,0,0,234,2,195,287,0,395,10,18,145,2,257,553,426,149,74%,104,47,456,22%,5,,,,,,0,20,143,1,3,,,,,,,,
10/14/92,Jon Flanagan," £33,000.00 ", £33.00 ,170cm,62kg,1,4,4,2,0,14,4,0,0,0,0,0,3,0,2,0,0,0,2,1,0,,,,,,,,,,,,0,0,1,4,25%,,,,,,,,,,,,,
12/24/89,Jonathan Leko," £3,000.00 ", £3.00 ,184cm,79kg,19,46,0.34,12,0,15.59,44,3,5,6,2,7,67,2,24,35,35,39,6,25,31,,,,,,,,,,,,0,0,14,113,35%,,,,,,,,,,,,,
8/20/86,Jonathan Walters," £25,000.00 ", £25.00 ,180cm,73kg,21,54,0.05,40,0,47.21,81,3,6,1,1,2,119,2,151,96,0,111,0,25,45,0,298,219,277,63,66%,84,26,372,26%,19,0,0,4,73,19%,,,,,,,,,,,,,
9/8/88,Jonny Evans," £65,000.00 ", £65.00 ,175cm,75kg,55,85,0.13,18,1,40.1,102,11,12,0,2,11,511,5,51,134,13,20,20,44,7,1,274,512,493,27,75%,97,201,468,27%,20,0,2,6,172,34%,,,,,,,,,,,,,
2/10/84,Jordan Henderson," £105,000.00 ", £105.00 ,188cm,78kg,2,0,0,4,0,29.67,9,0,0,,,,,,,,,,,,,1,70,,,,,,,,,,,,,,,0,2,12,,,34,5,92,1,23,6,4,4
12/13/91,Jordi Amat," £30,000.00 ", £30.00 ,187cm,77kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0%,0,,,,,,0,0,0,0,0,,,,,,,,
10/29/89,Jordon Ibe," £38,000.00 ", £38.00 ,180cm,80kg,38,113,3,48,0,31.43,113,4,12,1,1,1,254,1,233,293,2,497,7,22,272,1,196,734,486,247,87%,141,70,598,18%,2,,,,,,0,26,143,0,2,,,,,,,,
3/29/91,Jordy Clasie," £50,000.00 ", £50.00 ,185cm,76kg,0,11,5,3,0,39.2,5,0,1,0,0,0,1,0,4,12,0,8,0,3,4,0,11,19,36,6,58%,7,0,23,1%,1,0,0,0,3,3%,,,,,,,,,,,,,
10/3/93,Jos√© Fonte," £75,000.00 ", £75.00 ,192cm,95kg,14,1,0,14,0,27.51,37,0,0,,,,,,,,,,,,,0,298,,,,,,,,,,,,,,,0,12,46,,,125,14,335,0,140,44,41,15
12/22/83,Jos√© Holebas," £30,000.00 ", £30.00 ,187cm,81kg,56,109,7,51,1,49.4,143,2,22,6,0,1,45,3,322,251,1,990,5,17,408,4,594,633,383,318,74%,189,13,700,24%,6,,,,,,0,47,159,8,1,,,,,,,,
11/10/88,Joseph Gomez," £15,000.00 ", £15.00 ,178cm,67kg,74,134,15,52,1,30.91,184,14,22,4,5,6,505,3,212,339,21,345,21,41,169,1,209,877,817,84,81%,138,258,803,22%,11,,,,,,3,46,180,6,0,,,,,,,,
1/31/95,Josh Da Silva," £1,000.00 ", £1.00 ,190cm,75kg,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,0,,,0,0,0,0,0,0,0,0
10/8/96,Josh Onomah," £5,000.00 ", £5.00 ,183cm,72kg,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,0,,,0,0,0,0,0,0,0,0
1/24/86,Joshua King," £45,000.00 ", £45.00 ,173cm,71kg,12,58,0.1,35,0,15.8,71,4,12,0,4,3,267,0,43,89,8,23,6,22,7,0,43,195,348,15,74%,39,38,221,25%,9,0,0,5,67,31%,,,,,,,,,,,,,
1/24/83,Juan Carlos Paredes," £15,000.00 ", £15.00 ,173cm,69kg,28,53,0.18,33,0,29.61,83,12,7,0,1,14,206,3,62,84,18,36,15,28,7,1,85,286,337,11,79%,52,52,220,24%,22,2,4,5,128,41%,,,,,,,,,,,,,
4/7/98,Juan Mata," £160,000.00 ", £160.00 ,178cm,70kg,1,0,2,1,0,16.5,2,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2,2,2,1,1%,1,0,4,1%,0,0,0,0,1,1%,,,,,,,,,,,,,
2/14/92,Julian Speroni," £25,000.00 ", £25.00 ,175cm,71kg,55,45,0.22,24,0,50.25,104,25,9,1,6,16,593,10,87,131,1,58,31,83,22,0,207,349,522,52,82%,87,111,547,21%,44,0,6,12,263,37%,,,,,,,,,,,,,
10/15/79,Junior Stanislas," £15,000.00 ", £15.00 ,195cm,92kg,123,2,1,158,1,12.8,372,4,3,,,,,,,,,,,,,12,"1,424",,,,,,,,,,,,,,,0,43,333,,,552,137,"1,924",1,510,231,67,144
4/5/87,Kasper Schmeichel," £80,000.00 ", £80.00 ,175cm,74kg,162,230,0.15,54,2,54.29,287,96,58,1,4,33,"1,073",12,255,561,18,184,44,143,38,0,"1,145","1,193","1,244",86,74%,144,221,"1,130",24%,333,5,2,11,476,36%,,,,,,,,,,,,,
5/3/93,Kelechi Iheanacho," £50,000.00 ", £50.00 ,188cm,79kg,1,4,0,5,0,15.83,6,1,1,0,0,0,1,0,12,7,0,13,0,0,10,0,6,26,16,9,100%,6,6,18,1%,0,,,,,,0,0,9,0,0,,,,,,,,
9/11/82,Kevin De Bruyne," £150,000.00 ", £150.00 ,191cm,91kg,29,3,0,55,0,22.61,117,0,6,,,,,,,,,,,,,5,888,,,,,,,,,,,,,,,0,23,202,,,393,87,"1,203",2,376,159,57,81
5/28/90,Kevin Long," £14,000.00 ", £14.00 ,178cm,70kg,91,151,5,35,0,44.97,172,15,29,0,0,5,498,2,376,428,10,588,13,33,235,6,483,975,706,251,80%,176,145,968,20%,23,,,,,,1,48,187,4,2,,,,,,,,
12/19/92,Kevin Mirallas," £70,000.00 ", £70.00 ,197cm,89kg,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,0,,,0,0,0,0,0,0,0,0
5/7/89,Kevin Stewart," £16,000.00 ", £16.00 ,188cm,84kg,13,44,0.44,26,1,18.17,48,6,4,6,3,12,47,4,11,31,40,51,4,54,30,,,,,,,,,,,,3,0,19,150,41%,,,,,,,,,,,,,
4/13/96,Kevin Wimmer," £45,000.00 ", £45.00 ,190cm,75kg,1,1,2,1,0,9.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0%,0,2,0,0%,0,0,0,0,2,50%,,,,,,,,,,,,,
5/18/79,Kieran Gibbs," £46,000.00 ", £46.00 ,186cm,87kg,24,0,0,42,0,20.31,81,0,1,,,,,,,,,,,,,4,524,,,,,,,,,,,,,,,0,18,101,,,216,18,699,2,146,143,121,40
3/14/90,Kieran Trippier," £35,000.00 ", £35.00 ,168cm,62kg,57,112,0.07,41,1,44.25,134,3,11,1,2,7,88,0,208,337,1,102,7,34,33,1,380,635,547,45,74%,80,95,779,32%,17,0,0,6,100,30%,,,,,,,,,,,,,
9/20/83,Kristoffer Nordfeldt," £25,000.00 ", £25.00 ,183cm,79kg,69,210,0.18,85,1,21.53,213,17,25,8,3,28,345,7,96,150,114,224,21,55,101,,,,,,,,,,,,10,0,34,286,37%,,,,,,,,,,,,,
4/23/88,Krystian Bielik," £4,000.00 ", £4.00 ,185cm,80kg,65,157,0.12,60,1,12.5,187,13,15,7,8,7,158,5,46,81,58,63,11,75,36,,,,,,,,,,,,0,0,16,236,33%,,,,,,,,,,,,,
7/26/86,Kurt Zouma," £42,300.00 ", £42.30 ,190cm,80kg,30,89,0.24,23,0,19,71,5,3,5,2,9,32,2,22,79,19,60,6,12,44,,,,,,,,,,,,3,0,15,83,34%,,,,,,,,,,,,,
3/31/93,Kyle Naughton," £32,000.00 ", £32.00 ,191cm,90kg,26,131,0.15,50,0,18.37,104,5,10,4,4,8,110,6,51,91,24,103,4,55,59,,,,,,,,,,,,1,0,10,177,29%,,,,,,,,,,,,,
8/12/95,Kyle Walker," £70,000.00 ", £70.00 ,176cm,81kg,21,16,0.02,14,0,19.4,48,3,0,0,1,0,108,4,12,17,3,3,1,17,1,0,17,156,183,6,88%,14,100,145,18%,4,0,0,1,49,22%,,,,,,,,,,,,,
10/9/85,Laurent Koscielny," £90,000.00 ", £90.00 ,186cm,75kg,110,161,17,33,4,43.16,186,2,23,6,0,11,29,2,539,328,5,"1,112",3,10,463,2,454,953,604,462,72%,325,43,"1,104",21%,7,,,,,,2,72,173,21,1,,,,,,,,
5/7/92,Lee Grant," £30,000.00 ", £30.00 ,170cm,65kg,28,67,3,19,0,37.43,63,4,10,0,3,0,202,1,96,147,10,99,4,17,28,2,136,262,207,27,75%,29,30,246,24%,2,,,,,,0,13,72,2,0,,,,,,,,
7/1/86,Leighton Baines," £70,000.00 ", £70.00 ,174cm,68kg,14,46,0.06,38,0,19.4,67,4,9,0,1,3,171,1,64,74,5,51,0,22,1,1,70,161,175,24,69%,25,26,228,22%,5,0,0,0,83,29%,,,,,,,,,,,,,
1/15/92,Leon Britton," £35,000.00 ", £35.00 ,185cm,83kg,9,47,0.22,20,0,15.11,37,2,1,0,0,8,27,1,12,40,16,21,7,18,14,,,,,,,,,,,,0,0,2,63,41%,,,,,,,,,,,,,
2/4/86,Leonardo Ulloa," £27,000.00 ", £27.00 ,180cm,76kg,13,19,0.06,11,1,41.1,31,2,3,1,0,1,68,0,11,27,2,12,3,10,5,0,68,117,110,14,81%,16,41,162,16%,3,0,0,1,39,21%,,,,,,,,,,,,,
3/25/93,Leroy Fer," £45,000.00 ", £45.00 ,193cm,85kg,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,0,,,0,0,0,0,0,0,0,0
6/1/89,Lewis Cook," £30,000.00 ", £30.00 ,193cm,79kg,57,238,0.26,66,1,22.21,166,17,22,21,18,4,88,10,64,86,57,232,22,79,114,,,,,,,,,,,,2,1,42,433,33%,,,,,,,,,,,,,
7/16/87,Lewis Grabban," £29,000.00 ", £29.00 ,185cm,82kg,88,267,0.06,43,0,42.55,176,11,19,0,10,0,63,6,193,437,14,124,12,64,50,0,303,"1,206",975,158,82%,171,383,916,19%,24,0,1,9,180,32%,,,,,,,,,,,,,
7/25/92,Loris Karius," £60,000.00 ", £60.00 ,187cm,85kg,0,4,2,2,0,5.5,2,0,0,0,0,0,1,0,0,3,0,2,0,1,1,0,0,6,9,2,33%,5,0,1,1%,0,0,0,0,1,1%,,,,,,,,,,,,,
2/22/87,Lucas Leiva," £75,000.00 ", £75.00 ,192cm,87kg,2,0,0,1,0,28.75,4,0,0,,,,,,,,,,,,,0,22,,,,,,,,,,,,,,,0,3,2,,,7,0,17,0,24,6,3,1
3/17/88,Lucas P√©rez," £70,000.00 ", £70.00 ,201cm,93kg,30,0,0,14,0,24.91,55,0,2,,,,,,,,,,,,,3,464,,,,,,,,,,,,,,,0,22,44,,,120,17,400,0,143,59,15,6
3/28/90,Luke Shaw," £110,000.00 ", £110.00 ,180cm,82kg,12,35,0.39,9,0,21.24,33,3,4,11,1,1,92,2,65,47,15,51,4,18,25,2,36,213,217,59,72%,60,64,155,25%,1,0,0,7,81,36%,,,,,,,,,,,,,
9/22/82,Lys Mousset," £20,000.00 ", £20.00 ,197cm,92kg,13,0,0,21,0,21.56,43,0,2,,,,,,,,,,,,,3,253,,,,,,,,,,,,,,,1,9,67,,,120,24,376,0,165,52,16,16
